,Interval,Product,Pice,Order Quantity,Year,Month
585,10/06/2021,Acer Travelmate Laptop  15.6&quot;FHD 8GB 256GB SSD + 1TB HDD| Win 10 Pro | TMP215-53-55F5,"15,999",1,2021,June
586,13/06/2021,JBL PartyBox 310,"7,499",1,2021,June
587,15/06/2021,Acer Spin 1 Laptop 11.6&quot; Touch Celeron N4020 4GB 64GB | SP111-33-C7J6,"5,499",2,2021,June
588,15/06/2021,Acer Aspire 3 Laptop 15.6&#039;&#039; i5-1035G1 12GB 512GB SSD | Black | A315-56-57X5,"12,499",1,2021,June
589,15/06/2021,Acer Aspire 5 Laptop 14&#039;&#039; FHD i3-1115G4 8GB 256GB SSD | Blue Silver | A514-54-39J5,"9,999",1,2021,June
590,17/06/2021,Acer Aspire 3 Laptop 15.6&#039;&#039; i5-1035G1 12GB 512GB SSD | Black | A315-56-57X5,"12,499",1,2021,June
591,17/06/2021,JBL Bar 5.1 Surround Soundbar With MultiBeam Sound Technology - Black,"8,499",1,2021,June
592,18/06/2021,Acer Aspire 5 Laptop 14&#039;&#039; FHD i3-1115G4 8GB 256GB SSD | Black Silver |  A514-54-31L8 + JBL Tune 110 Bluetooth In Ear Headphones Black OH4286,"10,499",1,2021,June
593,20/06/2021,Acer Travelmate Spin P4 Laptop 14&quot; Touch i5-1135G7 8GB 512GB | WIn 10 Pro | TMP414RN-51-53X6,"29,999",4,2021,June
594,22/06/2021,Acer Swift 5 Laptop 14&quot; FHD i7-1165G7 8GB 1TB SSD Win 10 Pro Green  | SF514-55T+ RAPOO 9300M MULTIMODE WIRELESS COMBO BLACK 9300M,"23,499",1,2021,June
595,23/06/2021,Acer Aspire XC Desktop | XC-830 | Linpus™ Linux®,"3,899",2,2021,June
596,24/06/2021,Acer Swift 3 14&quot; i7-1165G7 16GB 1TB SSD | SF314-59-78TU,"20,999",1,2021,June
